骰子組合,基礎點數總和,發動牌型,發動牌型總和倍率,最終傷害
11112258,21,四同(x5) + 三對子(x3),15,315
11112266,20,四同(x5) + 豪華四對子(x20),100,2000
11112267,21,四同(x5) + 三對子(x3),15,315
11112268,22,四同(x5) + 三對子(x3),15,330
11112277,22,四同(x5) + 豪華四對子(x20),100,2200
11112278,23,四同(x5) + 三對子(x3),15,345
11112288,24,四同(x5) + 豪華四對子(x20),100,2400
11112333,15,四同(x5) + 三連順(x2) + 白馬(x14),140,2100
11112334,16,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,720
11112335,17,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,510
11112336,18,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,540
11112337,19,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,570
11112338,20,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,600
11112344,17,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,765
11112345,18,四同(x5) + 五連順(x4) + 順碰交響曲(x3),60,1080
11112346,19,四同(x5) + 四連順(x3) + 順碰交響曲(x3) + 圓周率(x7),315,5985
11112347,20,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,900
11112348,21,四同(x5) + 四連順(x3) + 順碰交響曲(x3) + 二進位(x3),135,2835
11112355,19,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,570
11112356,20,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,600
11112357,21,四同(x5) + 三連順(x2) + 順碰交響曲(x3) + 質數(x3),90,1890
11112358,22,四同(x5) + 三連順(x2) + 順碰交響曲(x3) + 斐波那契數列(x10),300,6600
11112366,21,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,630
11112367,22,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,660
11112368,23,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,690
11112377,23,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,690
11112378,24,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,720
11112388,25,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,750
11112444,18,四同(x5) + 白馬(x14),70,1260
11112445,19,四同(x5) + 三對子(x3),15,285
11112446,20,四同(x5) + 三對子(x3),15,300
11112447,21,四同(x5) + 三對子(x3),15,315
11112448,22,四同(x5) + 三對子(x3) + 二進位(x3),45,990
11112455,20,四同(x5) + 三對子(x3),15,300
11112456,21,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,630
11112457,22,四同(x5) + 雙對子(x2),10,220
11112458,23,四同(x5) + 雙對子(x2) + 二進位(x3),30,690
11112466,22,四同(x5) + 三對子(x3),15,330
11112467,23,四同(x5) + 雙對子(x2),10,230
11112468,24,四同(x5) + 雙對子(x2) + 二進位(x3),30,720
11112477,24,四同(x5) + 三對子(x3),15,360
11112478,25,四同(x5) + 雙對子(x2) + 二進位(x3),30,750
11112488,26,四同(x5) + 三對子(x3) + 二進位(x3),45,1170
11112555,21,四同(x5) + 白馬(x14),70,1470
11112556,22,四同(x5) + 三對子(x3),15,330
11112557,23,四同(x5) + 三對子(x3),15,345
11112558,24,四同(x5) + 三對子(x3),15,360
11112566,23,四同(x5) + 三對子(x3),15,345
11112567,24,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,720
11112568,25,四同(x5) + 雙對子(x2),10,250
11112577,25,四同(x5) + 三對子(x3),15,375
11112578,26,四同(x5) + 雙對子(x2),10,260
11112588,27,四同(x5) + 三對子(x3),15,405
11112666,24,四同(x5) + 白馬(x14),70,1680
11112667,25,四同(x5) + 三對子(x3),15,375
11112668,26,四同(x5) + 三對子(x3),15,390
11112677,26,四同(x5) + 三對子(x3),15,390
11112678,27,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,810
11112688,28,四同(x5) + 三對子(x3),15,420
11112777,27,四同(x5) + 白馬(x14),70,1890
11112778,28,四同(x5) + 三對子(x3),15,420
11112788,29,四同(x5) + 三對子(x3),15,435
11112888,30,四同(x5) + 白馬(x14),70,2100
11113333,16,四同(x5) + 雙子星(x50) + 絕對秩序(x12),3000,48000
11113334,17,四同(x5) + 白馬(x14),70,1190
11113335,18,四同(x5) + 白馬(x14) + 絕對秩序(x12),840,15120
11113336,19,四同(x5) + 白馬(x14),70,1330
11113337,20,四同(x5) + 白馬(x14) + 絕對秩序(x12),840,16800
11113338,21,四同(x5) + 白馬(x14),70,1470
11113344,18,四同(x5) + 豪華四對子(x20),100,1800
11113345,19,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,570
11113346,20,四同(x5) + 三對子(x3) + 圓周率(x7),105,2100
11113347,21,四同(x5) + 三對子(x3),15,315
11113348,22,四同(x5) + 三對子(x3),15,330
11113355,20,四同(x5) + 豪華四對子(x20) + 絕對秩序(x12),1200,24000
11113356,21,四同(x5) + 三對子(x3),15,315
11113357,22,四同(x5) + 三對子(x3) + 絕對秩序(x12),180,3960
11113358,23,四同(x5) + 三對子(x3),15,345
11113366,22,四同(x5) + 豪華四對子(x20),100,2200
11113367,23,四同(x5) + 三對子(x3),15,345
11113368,24,四同(x5) + 三對子(x3),15,360
11113377,24,四同(x5) + 豪華四對子(x20) + 絕對秩序(x12),1200,28800
11113378,25,四同(x5) + 三對子(x3),15,375
11113388,26,四同(x5) + 豪華四對子(x20),100,2600
11113444,19,四同(x5) + 白馬(x14),70,1330
11113445,20,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,600
11113446,21,四同(x5) + 三對子(x3) + 圓周率(x7),105,2205
11113447,22,四同(x5) + 三對子(x3),15,330
11113448,23,四同(x5) + 三對子(x3),15,345
11113455,21,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,630
11113456,22,四同(x5) + 四連順(x3) + 順碰交響曲(x3) + 圓周率(x7),315,6930
11113457,23,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,690
11113458,24,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,720
11113466,23,四同(x5) + 三對子(x3) + 圓周率(x7),105,2415
11113467,24,四同(x5) + 雙對子(x2) + 圓周率(x7),70,1680
11113468,25,四同(x5) + 雙對子(x2) + 圓周率(x7),70,1750
11113477,25,四同(x5) + 三對子(x3),15,375
11113478,26,四同(x5) + 雙對子(x2),10,260
11113488,27,四同(x5) + 三對子(x3),15,405
11113555,22,四同(x5) + 白馬(x14) + 絕對秩序(x12),840,18480
11113556,23,四同(x5) + 三對子(x3),15,345
11113557,24,四同(x5) + 三對子(x3) + 絕對秩序(x12),180,4320
11113558,25,四同(x5) + 三對子(x3),15,375
11113566,24,四同(x5) + 三對子(x3),15,360
11113567,25,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,750
11113568,26,四同(x5) + 雙對子(x2),10,260
11113577,26,四同(x5) + 三對子(x3) + 絕對秩序(x12),180,4680
11113578,27,四同(x5) + 雙對子(x2),10,270
11113588,28,四同(x5) + 三對子(x3),15,420
11113666,25,四同(x5) + 白馬(x14),70,1750
11113667,26,四同(x5) + 三對子(x3),15,390
11113668,27,四同(x5) + 三對子(x3),15,405
11113677,27,四同(x5) + 三對子(x3),15,405
11113678,28,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,840
11113688,29,四同(x5) + 三對子(x3),15,435
11113777,28,四同(x5) + 白馬(x14) + 絕對秩序(x12),840,23520
11113778,29,四同(x5) + 三對子(x3),15,435
11113788,30,四同(x5) + 三對子(x3),15,450
11113888,31,四同(x5) + 白馬(x14),70,2170
11114444,20,四同(x5) + 雙子星(x50),250,5000
11114445,21,四同(x5) + 白馬(x14),70,1470
11114446,22,四同(x5) + 白馬(x14),70,1540
11114447,23,四同(x5) + 白馬(x14),70,1610
11114448,24,四同(x5) + 白馬(x14),70,1680
11114455,22,四同(x5) + 豪華四對子(x20),100,2200
11114456,23,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,690
11114457,24,四同(x5) + 三對子(x3),15,360
11114458,25,四同(x5) + 三對子(x3),15,375
11114466,24,四同(x5) + 豪華四對子(x20),100,2400
11114467,25,四同(x5) + 三對子(x3),15,375
11114468,26,四同(x5) + 三對子(x3),15,390
11114477,26,四同(x5) + 豪華四對子(x20),100,2600
11114478,27,四同(x5) + 三對子(x3),15,405
11114488,28,四同(x5) + 豪華四對子(x20),100,2800
11114555,23,四同(x5) + 白馬(x14),70,1610
11114556,24,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,720
11114557,25,四同(x5) + 三對子(x3),15,375
11114558,26,四同(x5) + 三對子(x3),15,390
11114566,25,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,750
11114567,26,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1170
11114568,27,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,810
11114577,27,四同(x5) + 三對子(x3),15,405
11114578,28,四同(x5) + 雙對子(x2),10,280
11114588,29,四同(x5) + 三對子(x3),15,435
11114666,26,四同(x5) + 白馬(x14),70,1820
11114667,27,四同(x5) + 三對子(x3),15,405
11114668,28,四同(x5) + 三對子(x3),15,420
11114677,28,四同(x5) + 三對子(x3),15,420
11114678,29,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,870
11114688,30,四同(x5) + 三對子(x3),15,450
11114777,29,四同(x5) + 白馬(x14),70,2030
11114778,30,四同(x5) + 三對子(x3),15,450
11114788,31,四同(x5) + 三對子(x3),15,465
11114888,32,四同(x5) + 白馬(x14),70,2240
11115555,24,四同(x5) + 雙子星(x50) + 絕對秩序(x12),3000,72000
11115556,25,四同(x5) + 白馬(x14),70,1750
11115557,26,四同(x5) + 白馬(x14) + 絕對秩序(x12),840,21840
11115558,27,四同(x5) + 白馬(x14),70,1890
11115566,26,四同(x5) + 豪華四對子(x20),100,2600
11115567,27,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,810
11115568,28,四同(x5) + 三對子(x3),15,420
11115577,28,四同(x5) + 豪華四對子(x20) + 絕對秩序(x12),1200,33600
11115578,29,四同(x5) + 三對子(x3),15,435
11115588,30,四同(x5) + 豪華四對子(x20),100,3000
11115666,27,四同(x5) + 白馬(x14),70,1890
11115667,28,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,840
11115668,29,四同(x5) + 三對子(x3),15,435
11115677,29,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,870
11115678,30,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1350
11115688,31,四同(x5) + 三對子(x3),15,465
11115777,30,四同(x5) + 白馬(x14) + 絕對秩序(x12),840,25200
11115778,31,四同(x5) + 三對子(x3),15,465
11115788,32,四同(x5) + 三對子(x3),15,480
11115888,33,四同(x5) + 白馬(x14),70,2310
11116666,28,四同(x5) + 雙子星(x50),250,7000
11116667,29,四同(x5) + 白馬(x14),70,2030
11116668,30,四同(x5) + 白馬(x14),70,2100
11116677,30,四同(x5) + 豪華四對子(x20),100,3000
11116678,31,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,930
11116688,32,四同(x5) + 豪華四對子(x20),100,3200
11116777,31,四同(x5) + 白馬(x14),70,2170
11116778,32,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,960
11116788,33,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,990
11116888,34,四同(x5) + 白馬(x14),70,2380
11117777,32,四同(x5) + 雙子星(x50) + 絕對秩序(x12),3000,96000
11117778,33,四同(x5) + 白馬(x14),70,2310
11117788,34,四同(x5) + 豪華四對子(x20),100,3400
11117888,35,四同(x5) + 白馬(x14),70,2450
11118888,36,四同(x5) + 雙子星(x50) + 兩極(x60),15000,540000
11122222,13,五同(x12) + 南瓜馬車(x40),480,6240
11122223,14,四同(x5) + 三連順(x2) + 白馬(x14),140,1960
11122224,15,四同(x5) + 白馬(x14),70,1050
11122225,16,四同(x5) + 白馬(x14),70,1120
11122226,17,四同(x5) + 白馬(x14),70,1190
11122227,18,四同(x5) + 白馬(x14),70,1260
11122228,19,四同(x5) + 白馬(x14),70,1330
11122233,15,三同(x3) + 三連順(x2) + 碰碰胡(x14),84,1260
11122234,16,三同(x3) + 四連順(x3) + 雙三同(x11),99,1584
11122235,17,三同(x3) + 三連順(x2) + 雙三同(x11),66,1122
11122236,18,三同(x3) + 三連順(x2) + 雙三同(x11),66,1188
11122237,19,三同(x3) + 三連順(x2) + 雙三同(x11),66,1254
11122238,20,三同(x3) + 三連順(x2) + 雙三同(x11),66,1320
11122244,17,三同(x3) + 碰碰胡(x14),42,714
11122245,18,三同(x3) + 雙三同(x11),33,594
11122246,19,三同(x3) + 雙三同(x11),33,627
11122247,20,三同(x3) + 雙三同(x11),33,660
11122248,21,三同(x3) + 雙三同(x11) + 二進位(x3),99,2079
11122255,19,三同(x3) + 碰碰胡(x14),42,798
11122256,20,三同(x3) + 雙三同(x11),33,660
11122257,21,三同(x3) + 雙三同(x11),33,693
11122258,22,三同(x3) + 雙三同(x11),33,726
11122266,21,三同(x3) + 碰碰胡(x14),42,882
11122267,22,三同(x3) + 雙三同(x11),33,726
11122268,23,三同(x3) + 雙三同(x11),33,759
11122277,23,三同(x3) + 碰碰胡(x14),42,966
11122278,24,三同(x3) + 雙三同(x11),33,792
11122288,25,三同(x3) + 碰碰胡(x14),42,1050
11122333,16,三同(x3) + 三連順(x2) + 碰碰胡(x14),84,1344
11122334,17,三同(x3) + 四連順(x3) + 平胡(x10),90,1530
11122335,18,三同(x3) + 三連順(x2) + 雙三連順(x6),36,648
11122336,19,三同(x3) + 三連順(x2) + 雙三連順(x6),36,684
11122337,20,三同(x3) + 三連順(x2) + 雙三連順(x6),36,720
11122338,21,三同(x3) + 三連順(x2) + 雙三連順(x6),36,756
11122344,18,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,486
11122345,19,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,684
11122346,20,三同(x3) + 四連順(x3) + 順碰交響曲(x3) + 圓周率(x7),189,3780
11122347,21,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,567
11122348,22,三同(x3) + 四連順(x3) + 順碰交響曲(x3) + 二進位(x3),81,1782
11122355,20,三同(x3) + 三連順(x2) + 三對子(x3),18,360
11122356,21,三同(x3) + 三連順(x2) + 南瓜(x2),12,252
11122357,22,三同(x3) + 三連順(x2) + 南瓜(x2) + 質數(x3),36,792
11122358,23,三同(x3) + 三連順(x2) + 南瓜(x2) + 斐波那契數列(x10),120,2760
11122366,22,三同(x3) + 三連順(x2) + 三對子(x3),18,396
11122367,23,三同(x3) + 三連順(x2) + 南瓜(x2),12,276
11122368,24,三同(x3) + 三連順(x2) + 南瓜(x2),12,288
11122377,24,三同(x3) + 三連順(x2) + 三對子(x3),18,432
11122378,25,三同(x3) + 三連順(x2) + 南瓜(x2),12,300
11122388,26,三同(x3) + 三連順(x2) + 三對子(x3),18,468
11122444,19,三同(x3) + 碰碰胡(x14),42,798
11122445,20,三同(x3) + 三對子(x3),9,180
11122446,21,三同(x3) + 三對子(x3),9,189
11122447,22,三同(x3) + 三對子(x3),9,198
11122448,23,三同(x3) + 三對子(x3) + 二進位(x3),27,621
11122455,21,三同(x3) + 三對子(x3),9,189
11122456,22,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,396
11122457,23,三同(x3) + 南瓜(x2),6,138
11122458,24,三同(x3) + 南瓜(x2) + 二進位(x3),18,432
11122466,23,三同(x3) + 三對子(x3),9,207
11122467,24,三同(x3) + 南瓜(x2),6,144
11122468,25,三同(x3) + 南瓜(x2) + 二進位(x3),18,450
11122477,25,三同(x3) + 三對子(x3),9,225
11122478,26,三同(x3) + 南瓜(x2) + 二進位(x3),18,468
11122488,27,三同(x3) + 三對子(x3) + 二進位(x3),27,729
11122555,22,三同(x3) + 碰碰胡(x14),42,924
11122556,23,三同(x3) + 三對子(x3),9,207
11122557,24,三同(x3) + 三對子(x3),9,216
11122558,25,三同(x3) + 三對子(x3),9,225
11122566,24,三同(x3) + 三對子(x3),9,216
11122567,25,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,450
11122568,26,三同(x3) + 南瓜(x2),6,156
11122577,26,三同(x3) + 三對子(x3),9,234
11122578,27,三同(x3) + 南瓜(x2),6,162
11122588,28,三同(x3) + 三對子(x3),9,252
11122666,25,三同(x3) + 碰碰胡(x14),42,1050
11122667,26,三同(x3) + 三對子(x3),9,234
11122668,27,三同(x3) + 三對子(x3),9,243
11122677,27,三同(x3) + 三對子(x3),9,243
11122678,28,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,504
11122688,29,三同(x3) + 三對子(x3),9,261
11122777,28,三同(x3) + 碰碰胡(x14),42,1176
11122778,29,三同(x3) + 三對子(x3),9,261
11122788,30,三同(x3) + 三對子(x3) + 自然對數(x12),108,3240
11122888,31,三同(x3) + 碰碰胡(x14),42,1302
11123333,17,四同(x5) + 三連順(x2) + 白馬(x14),140,2380
11123334,18,三同(x3) + 四連順(x3) + 雙三同(x11),99,1782
11123335,19,三同(x3) + 三連順(x2) + 雙三同(x11),66,1254
11123336,20,三同(x3) + 三連順(x2) + 雙三同(x11),66,1320
11123337,21,三同(x3) + 三連順(x2) + 雙三同(x11),66,1386
11123338,22,三同(x3) + 三連順(x2) + 雙三同(x11),66,1452
11123344,19,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,513
11123345,20,三同(x3) + 五連順(x4) + 平胡(x10),120,2400
11123346,21,三同(x3) + 四連順(x3) + 順碰交響曲(x3) + 圓周率(x7),189,3969
11123347,22,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,594
11123348,23,三同(x3) + 四連順(x3) + 順碰交響曲(x3) + 二進位(x3),81,1863
11123355,21,三同(x3) + 三連順(x2) + 三對子(x3),18,378
11123356,22,三同(x3) + 三連順(x2) + 南瓜(x2),12,264
11123357,23,三同(x3) + 三連順(x2) + 南瓜(x2) + 質數(x3),36,828
11123358,24,三同(x3) + 三連順(x2) + 南瓜(x2) + 斐波那契數列(x10),120,2880
11123366,23,三同(x3) + 三連順(x2) + 三對子(x3),18,414
11123367,24,三同(x3) + 三連順(x2) + 南瓜(x2),12,288
11123368,25,三同(x3) + 三連順(x2) + 南瓜(x2),12,300
11123377,25,三同(x3) + 三連順(x2) + 三對子(x3),18,450
11123378,26,三同(x3) + 三連順(x2) + 南瓜(x2),12,312
11123388,27,三同(x3) + 三連順(x2) + 三對子(x3),18,486
11123444,20,三同(x3) + 四連順(x3) + 雙三同(x11),99,1980
11123445,21,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,756
11123446,22,三同(x3) + 四連順(x3) + 順碰交響曲(x3) + 圓周率(x7),189,4158
11123447,23,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,621
11123448,24,三同(x3) + 四連順(x3) + 順碰交響曲(x3) + 二進位(x3),81,1944
11123455,22,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,792
11123456,23,三同(x3) + 六連順(x7) + 平胡(x10) + 圓周率(x7),1470,33810
11123457,24,三同(x3) + 五連順(x4) + 順碰交響曲(x3) + 質數(x3),108,2592
11123458,25,三同(x3) + 五連順(x4) + 順碰交響曲(x3) + 斐波那契數列(x10),360,9000
11123466,24,三同(x3) + 四連順(x3) + 順碰交響曲(x3) + 圓周率(x7),189,4536
